"l_id","chain","category","company","brand","l_offer","l_alias_market","repeattrips","repeater","offerdate","quantity","offervalue","agg_qty","agg_amt","freq","l_alias_gender","age","state","__of_subscriber","avg___daily_calls_received","avg__duration__mins__per_call_received","avg____distinct_numbers_daily_calls_received_from","avg____distinct_numbers_weekly_calls_received_from","avg___daily_calls_made","avg___weekly_calls_made","avg__duration__mins__per_call_made","avg____distinct_numbers_daily_calls_made_to","avg____distinct_numbers_weekly_calls_made_to","__daily_messages_received","__weekly_messages_received","avg____distinct_numbers_daily_msgs_received_from","avg____distinct_numbers_weekly_msgs_received_from","__daily_messages_sent","__weekly_messages_sent","avg____distinct_numbers_daily_msgs_sent_to","avg____distinct_numbers_weekly_msgs_sent_to","repeat_flag"
"_2654523757","_360","_5558","_107120272","_5072","_1198271","_7","0","f","3/26/2013 0:00","1","1.5","15","68.75","1","F","16-25","KS","516618","15495","10825","15135","45405","13470","94290","10199","8268","24804","15828","110796","7999","23997","15864","111048","5220","15660","0"
"_2647146931","_96","_5616","_104610040","_15889","_1204576","_4","2","t","4/5/2013 0:00","1","1","5","25.550000000000001","3","M","26-35","FL","516096","15861","10751","15756","47268","13270","92890","10341","8233","24699","16078","112546","8026","24078","16168","113176","5193","15579","1"
"_2667853813","_96","_5616","_104610040","_15889","_1204576","_27","2","t","4/7/2013 0:00","1","1","26","49.359999999999999","3","F","16-25","AZ","563720","16276","11432","16742","50226","13874","97118","10938","8889","26667","17233","120631","8748","26244","17403","121821","5393","16179","1"
"_2619795653","_42","_5616","_104610040","_15889","_1204576","_19","0","f","4/7/2013 0:00","1","1","18","53.049999999999997","1","M","26-35","OK","510791","15442","10893","14938","44814","13163","92141","9991","8351","25053","15780","110460","8235","24705","15748","110236","5236","15708","0"
"_2643116796","_431","_1726","_104460040","_7668","_1200581","_12","0","f","4/1/2013 0:00","1","1.25","2","3.1899999999999999","1","F","16-25","MN","507503","15737","10599","15774","47322","13794","96558","10450","8373","25119","16333","114331","8211","24633","15896","111272","5129","15387","0"
"_2650284658","_46","_5616","_104610040","_15889","_1204576","_23","5","t","4/6/2013 0:00","1","1","2","7.5800000000000001","6","F","36-45","UT","537914","15493","10979","15716","47148","13384","93688","10624","8002","24006","15950","111650","8369","25107","15811","110677","5119","15357","1"
"_2658484978","_285","_3203","_106414464","_13474","_1197502","_30","1","t","3/30/2013 0:00","1","0.75","5","28.449999999999999","2","M","26-35","ID","552738","16641","11634","16816","50448","14630","102410","11084","8863","26589","16924","118468","9043","27129","17637","123459","5589","16767","1"
"_2666727739","_285","_5558","_107120272","_5072","_1198274","_9","0","f","3/26/2013 0:00","1","1.5","1","6.29","1","M","36-45","LA","590646","16883","11459","16083","48249","14359","100513","10534","8707","26121","16861","118027","8384","25152","16667","116669","5351","16053","0"
"_2635184545","_42","_3203","_106414464","_13474","_1197502","_31","0","f","4/2/2013 0:00","1","0.75","4","23.960000000000001","1","F","36-45","IN","490977","14698","10311","14635","43905","12933","90531","9844","7875","23625","15362","107534","7936","23808","15016","105112","5241","15723","0"
"_2672163227","_21","_4401","_105100050","_13791","_1199258","_1","0","f","3/16/2013 0:00","1","2","12","41.68","1","F","26-35","AL","532816","15649","10649","15529","46587","13801","96607","10150","8012","24036","15720","110040","8199","24597","16660","116620","5113","15339","0"
"_2633536062","_96","_3203","_106414464","_13474","_1197502","_8","0","f","4/7/2013 0:00","1","0.75","6","32.939999999999998","1","M","26-35","KY","526763","15521","10719","15496","46488","12857","89999","10348","7859","23577","15792","110544","8099","24297","15221","106547","5161","15483","0"
"_2642534889","_285","_2119","_108079383","_6926","_1208329","_9","2","t","4/24/2013 0:00","1","1","36","44.270000000000003","3","M","36-45","LA","590646","16883","11459","16083","48249","14359","100513","10534","8707","26121","16861","118027","8384","25152","16667","116669","5351","16053","1"
"_2632936433","_285","_3203","_106414464","_13474","_1197502","_18","0","f","3/27/2013 0:00","1","0.75","1","1.5900000000000001","1","M","36-45","OH","517362","15509","10688","15852","47556","13380","93660","10153","8177","24531","15458","108206","8160","24480","15853","110971","5109","15327","0"
"_2640507233","_100","_2202","_104460040","_3718","_1208251","_6","0","f","4/29/2013 0:00","1","2","2","7.9800000000000004","1","F","36-45","IL","518627","15672","10966","15495","46485","13551","94857","10507","8450","25350","16159","113113","8328","24984","16234","113638","5216","15648","0"
"_2648696184","_285","_5558","_107120272","_5072","_1198272","_25","0","f","3/27/2013 0:00","1","1.5","4","12.76","1","M","26-35","WA","517404","15870","10961","16142","48426","14099","98693","10534","8434","25302","16573","116011","8592","25776","16654","116578","5329","15987","0"
"_2656600111","_40","_2202","_104460040","_3718","_1208251","_11","0","f","4/25/2013 0:00","1","2","2","3.4900000000000002","1","M","26-35","MI","519430","15405","10629","15490","46470","13055","91385","10162","8137","24411","15389","107723","7978","23934","15745","110215","5125","15375","0"
"_2662456803","_21","_3203","_106414464","_13474","_1197502","_13","0","f","4/3/2013 0:00","1","0.75","1","7.9900000000000002","1","M","36-45","NC","529551","15379","10348","15384","46152","13109","91763","10352","8171","24513","16208","113456","8243","24729","15987","111909","5128","15384","0"
"_2630941195","_21","_1703","_104460040","_7668","_1200579","_26","0","f","3/30/2013 0:00","1","1.5","17","51.189999999999998","1","M","26-35","WI","557816","16334","11731","16043","48129","14294","100058","11047","8715","26145","16656","116592","8746","26238","17282","120974","5616","16848","0"
"_2647570191","_360","_4401","_105100050","_13791","_1199258","_16","0","f","3/16/2013 0:00","1","2","5","10.93","1","F","16-25","NY","499716","14844","10326","14407","43221","12584","88088","9542","8017","24051","15208","106456","7776","23328","14981","104867","4964","14892","0"
"_2629773859","_46","_2202","_104460040","_3718","_1208252","_30","1","t","4/25/2013 0:00","1","3","5","34.950000000000003","2","F","26-35","ID","560017","15184","11364","16099","48297","13741","96187","10282","8541","25623","16872","118104","8588","25764","16360","114520","5382","16146","1"
"_2639975184","_109","_3203","_106414464","_13474","_1197502","_2","0","f","4/2/2013 0:00","1","0.75","5","47.950000000000003","1","M","26-35","AR","530914","15854","11092","15866","47598","13448","94136","9973","8401","25203","16155","113085","8265","24795","16378","114646","5348","16044","0"
"_2656659275","_16","_2202","_104460040","_3718","_1208251","_26","2","t","4/23/2013 0:00","1","2","4","-4.25","3","M","16-25","WI","551962","16070","11195","16230","48690","14263","99841","10511","8733","26199","16824","117768","8641","25923","16530","115710","5265","15795","1"
"_2632294648","_98","_3203","_106414464","_13474","_1197502","_21","0","f","3/25/2013 0:00","1","0.75","2","2","1","F","16-25","SC","550478","16754","11458","16192","48576","14085","98595","11116","8748","26244","16902","118314","8512","25536","16658","116606","5368","16104","0"
"_2640028038","_377","_9909","_1089520383","_28840","_1203052","_11","0","f","4/7/2013 0:00","1","1","1","4.5899999999999999","1","M","36-45","MI","563625","14973","10774","15381","46143","13574","95018","10095","8251","24753","15426","107982","8387","25161","16003","112021","5229","15687","0"
"_2647570939","_360","_3203","_106414464","_13474","_1197502","_13","0","f","3/29/2013 0:00","1","0.75","11","30.550000000000001","1","M","26-35","NC","529376","15524","10708","15035","45105","13369","93583","9985","8336","25008","15686","109802","8083","24249","15796","110572","5221","15663","0"
"_2655463248","_70","_3203","_106414464","_13474","_1197502","_22","1","t","3/28/2013 0:00","1","0.75","2","3.6899999999999999","2","F","26-35","TX","478150","15275","10706","15409","46227","13442","94094","10321","8266","24798","16474","115318","8286","24858","15789","110523","5114","15342","1"
"_2671122587","_46","_5558","_107120272","_5072","_1198274","_25","2","t","3/27/2013 0:00","1","1.5","3","69.469999999999999","3","F","36-45","WA","505717","14929","10686","15304","45912","12972","90804","10236","7981","23943","15787","110509","8080","24240","15680","109760","5083","15249","1"
"_2629706642","_96","_4401","_105100050","_13791","_1199258","_23","0","f","3/14/2013 0:00","1","2","1","4.9900000000000002","1","M","16-25","UT","560327","16434","11554","16839","50517","14794","103558","11283","8908","26724","17103","119721","8794","26382","17283","120981","5351","16053","0"
"_2647253077","_214","_3203","_106414464","_13474","_1197502","_13","0","f","3/30/2013 0:00","1","0.75","8","7.3899999999999997","1","M","36-45","NC","529551","15379","10348","15384","46152","13109","91763","10352","8171","24513","16208","113456","8243","24729","15987","111909","5128","15384","0"
"_2629146959","_510","_1726","_104460040","_7668","_1200581","_12","1","t","3/30/2013 0:00","1","1.25","1","1.5900000000000001","2","F","16-25","MN","507503","15737","10599","15774","47322","13794","96558","10450","8373","25119","16333","114331","8211","24633","15896","111272","5129","15387","1"
"_2639281815","_96","_2119","_108079383","_6926","_1208329","_6","7","t","4/26/2013 0:00","1","1","8","11.359999999999999","8","M","16-25","IL","506578","15371","10772","15351","46053","13208","92456","10327","8292","24876","15428","107996","8132","24396","16321","114247","5072","15216","1"
"_2656018319","_42","_4401","_105100050","_13791","_1199258","_19","0","f","3/13/2013 0:00","1","2","5","35.310000000000002","1","F","26-35","OK","479346","15639","10626","15468","46404","13418","93926","10432","8008","24024","16281","113967","8025","24075","16381","114667","4974","14922","0"
"_2622194207","_46","_5616","_104610040","_15889","_1204576","_23","0","f","4/8/2013 0:00","1","1","2","13.380000000000001","1","F","16-25","UT","502082","15541","10688","15529","46587","13757","96299","10385","8102","24306","15911","111377","8126","24378","16462","115234","5336","16008","0"
"_2634245894","_377","_9909","_1089520383","_28840","_1203052","_7","2","t","4/10/2013 0:00","1","1","2","5.5","3","F","16-25","KS","516618","15495","10825","15135","45405","13470","94290","10199","8268","24804","15828","110796","7999","23997","15864","111048","5220","15660","1"
"_2642536592","_285","_3203","_106414464","_13474","_1197502","_11","1","t","3/30/2013 0:00","1","0.75","1","2.9900000000000002","2","F","16-25","MI","506433","15157","10936","15652","46956","12714","88998","10279","8188","24564","15557","108899","8165","24495","15616","109312","5130","15390","1"
"_2657464613","_15","_3203","_106414464","_13474","_1197502","_30","2","t","3/29/2013 0:00","1","0.75","2","23.98","3","F","26-35","ID","560017","15184","11364","16099","48297","13741","96187","10282","8541","25623","16872","118104","8588","25764","16360","114520","5382","16146","1"
"_2663665763","_21","_3203","_106414464","_13474","_1197502","_15","0","f","3/26/2013 0:00","1","0.75","2","6.29","1","F","16-25","NJ","534222","15897","11015","15567","46701","13465","94255","10286","8784","26352","16657","116599","8581","25743","16054","112378","5324","15972","0"
"_2620337542","_508","_3203","_106414464","_13474","_1197502","_18","0","f","3/30/2013 0:00","1","0.75","1","6.4900000000000002","1","F","16-25","OH","507340","16407","11095","16196","48588","13787","96509","10573","8488","25464","16091","112637","8447","25341","16574","116018","5320","15960","0"
"_2641356372","_109","_3203","_106414464","_13474","_1197502","_6","0","f","4/17/2013 0:00","1","0.75","5","18.059999999999999","1","M","26-35","IL","481503","14624","10680","14270","42810","12812","89684","10034","7962","23886","15199","106393","7992","23976","15602","109214","4953","14859","0"
"_2620535274","_21","_4401","_105100050","_13791","_1199258","_3","0","f","3/15/2013 0:00","1","2","1","8.2899999999999991","1","F","16-25","CA","501278","15143","10637","15020","45060","13137","91959","10317","8103","24309","15687","109809","8097","24291","15533","108731","4969","14907","0"
"_2657055619","_151","_3203","_106414464","_13474","_1197502","_4","0","f","3/31/2013 0:00","1","0.75","12","16.48","1","M","16-25","FL","570370","16291","11606","16681","50043","14074","98518","10945","9183","27549","17086","119602","8782","26346","16611","116277","5449","16347","0"
"_2651436450","_21","_3203","_106414464","_13474","_1197502","_1","1","t","3/28/2013 0:00","1","0.75","17","57.829999999999998","2","F","36-45","AL","469383","14668","10458","14275","42825","13021","91147","9822","8055","24165","15006","105042","7954","23862","15528","108696","4959","14877","1"
"_2660120269","_42","_3203","_106414464","_13474","_1197502","_27","1","t","3/31/2013 0:00","1","0.75","1","3","2","F","16-25","AZ","563720","16276","11432","16742","50226","13874","97118","10938","8889","26667","17233","120631","8748","26244","17403","121821","5393","16179","1"
"_2629491191","_21","_2119","_108079383","_6926","_1208329","_8","1","t","4/23/2013 0:00","1","1","3","10.970000000000001","2","F","36-45","KY","519732","15125","10993","15785","47355","13295","93065","10311","8076","24228","15767","110369","8246","24738","16262","113834","5277","15831","1"
"_2636271412","_89","_2202","_104460040","_3718","_1208251","_24","0","f","4/24/2013 0:00","1","2","16","13.59","1","M","36-45","VA","498980","14567","10287","14925","44775","12655","88585","9740","8012","24036","15464","108248","7933","23799","15413","107891","4909","14727","0"
"_2645651241","_360","_6202","_1087744888","_64486","_1208501","_32","1","t","4/25/2013 0:00","1","1.5","2","3.98","2","F","26-35","ME","532723","14606","10678","15230","45690","13010","91070","10050","7981","23943","14986","104902","7843","23529","15295","107065","4851","14553","1"
"_2652776443","_143","_3203","_106414464","_13474","_1197502","_24","0","f","3/27/2013 0:00","1","0.75","7","20.030000000000001","1","M","36-45","VA","498980","14567","10287","14925","44775","12655","88585","9740","8012","24036","15464","108248","7933","23799","15413","107891","4909","14727","0"
"_2667768259","_140","_2202","_104460040","_3718","_1208251","_7","0","f","4/24/2013 0:00","1","2","2","8.4900000000000002","1","F","26-35","KS","528758","16010","11393","16149","48447","13907","97349","10473","8358","25074","16616","116312","8576","25728","16224","113568","5337","16011","0"
"_2625247091","_431","_3203","_106414464","_13474","_1197502","_19","0","f","3/30/2013 0:00","1","0.75","1","4.79","1","F","36-45","OK","512188","16047","10927","16242","48726","13605","95235","10072","8318","24954","16194","113358","8557","25671","16655","116585","5213","15639","0"
"_2644072795","_508","_1726","_104460040","_7668","_1200581","_4","0","f","4/1/2013 0:00","1","1.25","3","4.1699999999999999","1","M","16-25","FL","570370","16291","11606","16681","50043","14074","98518","10945","9183","27549","17086","119602","8782","26346","16611","116277","5449","16347","0"
"_2623894517","_165","_2202","_104460040","_3718","_1208251","_11","0","f","4/25/2013 0:00","1","2","1","7.4900000000000002","1","M","16-25","MI","499035","15792","11517","16150","48450","13835","96845","10304","8607","25821","16681","116767","8671","26013","16540","115780","5183","15549","0"
"_2660298597","_285","_2202","_104460040","_3718","_1208252","_1","0","f","4/27/2013 0:00","1","3","8","37.520000000000003","1","F","36-45","AL","469383","14668","10458","14275","42825","13021","91147","9822","8055","24165","15006","105042","7954","23862","15528","108696","4959","14877","0"
"_2654190367","_21","_6202","_1087744888","_64486","_1208501","_20","0","f","4/24/2013 0:00","1","1.5","2","3.79","1","M","16-25","PA","481293","14985","10416","14585","43755","12909","90363","9444","7836","23508","15304","107128","7668","23004","15474","108318","4765","14295","0"
"_2663665442","_21","_3203","_106414464","_13474","_1197502","_15","1","t","3/27/2013 0:00","1","0.75","1","6.5899999999999999","2","F","36-45","NJ","516518","15743","10883","16151","48453","13611","95277","10440","8369","25107","16074","112518","8425","25275","16515","115605","5254","15762","1"
"_2677229678","_40","_3203","_106414464","_13474","_1197502","_32","0","f","3/28/2013 0:00","1","0.75","2","2.1800000000000002","1","M","26-35","ME","548854","15834","11164","15744","47232","13681","95767","10761","8471","25413","16541","115787","8444","25332","16576","116032","5176","15528","0"
"_2679085252","_285","_2119","_108079383","_6926","_1208329","_11","0","f","4/23/2013 0:00","1","1","1","2.9900000000000002","1","F","36-45","MI","550245","15990","11317","15887","47661","13905","97335","10849","8611","25833","16973","118811","8662","25986","16856","117992","5247","15741","0"
"_2626546062","_77","_2202","_104460040","_3718","_1208251","_19","0","f","4/23/2013 0:00","1","2","2","-0.01","1","M","26-35","OK","510791","15442","10893","14938","44814","13163","92141","9991","8351","25053","15780","110460","8235","24705","15748","110236","5236","15708","0"
"_2637832408","_109","_3203","_106414464","_13474","_1197502","_27","0","f","3/30/2013 0:00","1","0.75","1","2.79","1","M","26-35","AZ","519723","15140","10594","15506","46518","13170","92190","10232","8071","24213","16031","112217","8262","24786","15579","109053","5166","15498","0"
"_2654507323","_15","_2202","_104460040","_3718","_1208251","_18","0","f","4/26/2013 0:00","1","2","1","2.29","1","F","36-45","OH","564409","15996","11340","16000","48000","13961","97727","10796","8673","26019","16930","118510","8416","25248","16622","116354","5310","15930","0"
"_2659752624","_46","_3203","_106414464","_13474","_1197502","_30","0","f","3/30/2013 0:00","1","0.75","1","4.5899999999999999","1","F","16-25","ID","562848","16059","10872","15691","47073","13868","97076","10238","8426","25278","15807","110649","8599","25797","16031","112217","5302","15906","0"
"_2673004485","_285","_2119","_108079383","_6926","_1208329","_31","8","t","4/28/2013 0:00","1","1","2","-3.0099999999999998","9","F","26-35","IN","497780","14676","10619","15410","46230","13634","95438","10135","8128","24384","15380","107660","8092","24276","15729","110103","5199","15597","1"
"_2681392350","_40","_2202","_104460040","_3718","_1208252","_5","0","f","4/24/2013 0:00","1","3","4","23.059999999999999","1","M","26-35","IA","506879","16070","11094","15781","47343","13573","95011","10312","8372","25116","15783","110481","8280","24840","15833","110831","5195","15585","0"
"_2677587465","_64","_9909","_107127979","_6732","_1194044","_8","0","f","3/2/2013 0:00","1","1","3","10.77","1","M","26-35","KY","526763","15521","10719","15496","46488","12857","89999","10348","7859","23577","15792","110544","8099","24297","15221","106547","5161","15483","0"
"_2654190594","_21","_2119","_108079383","_6926","_1208329","_27","0","f","4/22/2013 0:00","1","1","6","20.690000000000001","1","F","26-35","AZ","525634","14637","10437","14486","43458","13139","91973","9706","7839","23517","15320","107240","7827","23481","15463","108241","4887","14661","0"
"_2646766159","_101","_3203","_106414464","_13474","_1197502","_20","0","f","4/18/2013 0:00","1","0.75","1","15.789999999999999","1","F","36-45","PA","540030","15788","10929","15808","47424","13587","95109","10525","8426","25278","16094","112658","8563","25689","16346","114422","5169","15507","0"
"_2667414617","_101","_3203","_106414464","_13474","_1197502","_4","0","f","3/29/2013 0:00","1","0.75","3","7.9900000000000002","1","M","26-35","FL","516096","15861","10751","15756","47268","13270","92890","10341","8233","24699","16078","112546","8026","24078","16168","113176","5193","15579","0"
"_2633353637","_21","_6202","_1087744888","_64486","_1208501","_25","2","t","4/26/2013 0:00","1","1.5","10","41.100000000000001","3","M","26-35","WA","517404","15870","10961","16142","48426","14099","98693","10534","8434","25302","16573","116011","8592","25776","16654","116578","5329","15987","1"
"_2640632263","_89","_3203","_106414464","_13474","_1197502","_6","0","f","3/25/2013 0:00","1","0.75","1","2.5","1","F","36-45","IL","518627","15672","10966","15495","46485","13551","94857","10507","8450","25350","16159","113113","8328","24984","16234","113638","5216","15648","0"
"_2648701260","_285","_2119","_108079383","_6926","_1208329","_22","0","f","4/24/2013 0:00","1","1","1","5.1100000000000003","1","F","16-25","TX","548315","16465","11473","16073","48219","13636","95452","10246","8355","25065","16334","114338","8299","24897","16511","115577","5410","16230","0"
"_2656699583","_21","_4401","_105100050","_13791","_1199258","_4","0","f","3/14/2013 0:00","1","2","3","10.970000000000001","1","F","16-25","FL","523296","16138","11014","15747","47241","13883","97181","10694","8480","25440","16202","113414","8423","25269","16705","116935","5397","16191","0"
"_2662623370","_166","_9909","_1089520383","_28840","_1203052","_7","1","t","4/5/2013 0:00","1","1","1","1.79","2","F","16-25","KS","516618","15495","10825","15135","45405","13470","94290","10199","8268","24804","15828","110796","7999","23997","15864","111048","5220","15660","1"
"_2631071386","_89","_3203","_106414464","_13474","_1197502","_17","0","f","3/27/2013 0:00","1","0.75","13","17.32","1","M","26-35","OH","542665","15277","11126","15035","45105","12878","90146","10059","8289","24867","16291","114037","8381","25143","15787","110509","5081","15243","0"
"_2622073491","_58","_2202","_104460040","_3718","_1208251","_6","0","f","4/26/2013 0:00","1","2","11","21.890000000000001","1","F","16-25","IL","481150","15586","10834","15251","45753","13124","91868","10132","8165","24495","16198","113386","8299","24897","16697","116879","5129","15387","0"
"_2645488410","_96","_5558","_107120272","_5072","_1198275","_24","0","f","3/25/2013 0:00","1","1.5","29","69.400000000000006","1","F","26-35","VA","430057","13973","10261","14217","42651","12290","86030","9592","7682","23046","14861","104027","7722","23166","15080","105560","4891","14673","0"
"_2652062860","_42","_2119","_108079383","_6926","_1208329","_30","0","f","4/22/2013 0:00","1","1","21","25.149999999999999","1","M","16-25","ID","494103","15303","10852","15314","45942","13732","96124","10193","8175","24525","15770","110390","8251","24753","15748","110236","5243","15729","0"
"_2660300239","_285","_3203","_106414464","_13474","_1197502","_19","1","t","3/29/2013 0:00","1","0.75","5","10.15","2","M","16-25","OK","540083","14979","10462","14994","44982","13056","91392","9722","7710","23130","15452","108164","7926","23778","15530","108710","4801","14403","1"
"_2667885906","_214","_3203","_106414464","_13474","_1197502","_1","0","f","3/29/2013 0:00","1","0.75","1","2.79","1","M","36-45","AL","488582","14947","10445","15235","45705","13202","92414","9925","7929","23787","15824","110768","8349","25047","15320","107240","4971","14913","0"
"_2637749641","_285","_3203","_106414464","_13474","_1197502","_11","0","f","3/25/2013 0:00","1","0.75","45","407.97000000000003","1","F","36-45","MI","550245","15990","11317","15887","47661","13905","97335","10849","8611","25833","16973","118811","8662","25986","16856","117992","5247","15741","0"
"_2673666173","_12","_2119","_108079383","_6926","_1208329","_25","1","t","4/22/2013 0:00","1","1","2","4.5800000000000001","2","M","26-35","WA","517404","15870","10961","16142","48426","14099","98693","10534","8434","25302","16573","116011","8592","25776","16654","116578","5329","15987","1"
"_2635992198","_101","_2202","_104460040","_3718","_1208251","_19","0","f","4/26/2013 0:00","1","2","1","3.5899999999999999","1","M","36-45","OK","515688","16333","11326","15915","47745","13581","95067","10751","8646","25938","16637","116459","8733","26199","16445","115115","5321","15963","0"
"_2643316975","_15","_3203","_106414464","_13474","_1197502","_12","0","f","3/25/2013 0:00","1","0.75","3","29.969999999999999","1","M","36-45","MN","491903","14950","10535","15378","46134","13214","92498","10050","7855","23565","15414","107898","8063","24189","16109","112763","5024","15072","0"
"_2663666770","_21","_6202","_1087744888","_64486","_1208501","_28","0","f","4/28/2013 0:00","1","1.5","11","42.109999999999999","1","F","16-25","CO","544042","15598","11042","15553","46659","13317","93219","10521","8607","25821","16710","116970","8337","25011","17102","119714","5230","15690","0"
"_2621937644","_21","_4401","_105100050","_13791","_1199258","_24","0","f","3/16/2013 0:00","1","2","13","31.050000000000001","1","F","36-45","VA","508604","15226","10899","15382","46146","13796","96572","10180","8033","24099","15896","111272","8046","24138","15933","111531","5254","15762","0"
"_2643908625","_24","_9909","_1089520383","_28840","_1203052","_27","0","f","4/11/2013 0:00","1","1","27","107.73","1","M","26-35","AZ","519723","15140","10594","15506","46518","13170","92190","10232","8071","24213","16031","112217","8262","24786","15579","109053","5166","15498","0"
"_2651439151","_21","_6202","_1087744888","_64486","_1208501","_5","2","t","4/30/2013 0:00","1","1.5","4","10.16","3","F","16-25","IA","500178","14115","10154","14544","43632","12811","89677","9736","7786","23358","15078","105546","7895","23685","14472","101304","4775","14325","1"
