LocationAbbr,LocationDesc,Data_Value,Rate
MT,Yellowstone,223,592
ID,Blaine,224,593
MT,Carbon,224,594
FL,Florida,224,595
IL,Grundy,224,596
IN,Hendricks,224,597
FL,Martin,224,598
GA,McIntosh,224,599
CO,Montrose,224,600
NJ,Somerset,224,601
NJ,Warren,224,602
NE,Washington,224,603
CA,Amador,225,604
NJ,Hudson,225,605
VA,James City,225,606
MI,Kent,225,607
NC,Orange,225,608
MA,Plymouth,225,609
IA,Dickinson,226,610
ND,Golden Valley,226,611
MD,Howard,226,612
MI,Jackson,226,613
ID,Minidoka,226,614
NE,Morrill,226,615
WA,Pierce,226,616
VA,Spotsylvania,226,617
SD,Turner,226,618
SD,Bennett,227,619
VA,Fairfax,227,620
NY,Livingston,227,621
CA,Solano,227,622
GA,Banks,228,623
WI,Grant,228,624
OH,Huron,228,625
NJ,Middlesex,228,626
MN,Minnesota,228,627
LA,Caddo Parish,229,628
OR,Crook,229,629
KY,Fayette,229,630
FL,Lee,229,631
GA,Lumpkin,229,632
WI,Menominee,229,633
CO,Mineral,229,634
ID,Oneida,229,635
KS,Osage,229,636
FL,Polk,229,637
MN,Steele,229,638
AZ,Coconino,230,639
MA,Hampden,230,640
NH,New Hampshire,230,641
OK,Oklahoma,230,642
IL,Sangamon,230,643
SD,Charles Mix,231,644
WI,Douglas,231,645
OR,Jefferson,231,646
IA,Johnson,231,647
PA,Montour,231,648
NY,Ontario,231,649
TX,Travis,231,650
CA,Yolo,231,651
WI,Columbia,232,652
MA,Hampden,232,653
NC,McDowell,232,654
KS,Morris,232,655
CO,Rio Grande,232,656
CA,Santa Cruz,232,657
WY,Sublette,232,658
SC,Anderson,233,659
CO,Delta,233,660
KS,Ford,233,661
NJ,Morris,233,662
IA,Buchanan,234,663
CO,Clear Creek,234,664
AZ,Cochise,234,665
FL,Hendry,234,666
NE,Hitchcock,234,667
WA,King,234,668
WA,Klickitat,234,669
WA,San Juan,234,670
KS,Sherman,234,671
TX,Sterling,234,672
WY,Carbon,235,673
AZ,Coconino,235,674
KS,Ellsworth,235,675
ID,Idaho,235,676
AZ,La Paz,235,677
CT,New London,235,678
VA,Norfolk City,235,679
CA,San Mateo,235,680
MI,Antrim,236,681
SD,Bon Homme,236,682
SC,Greenville,236,683
ND,Mountrail,236,684
WI,Rusk,236,685
TN,Rutherford,236,686
MO,Clay,237,687
FL,Levy,237,688
MI,Shiawassee,237,689
NV,Storey,237,690
MN,Carlton,238,691
GA,Greene,238,692
NC,Wilkes,238,693
OH,Williams,238,694
VT,Bennington,239,695
IL,Johnson,239,696
KS,Nemaha,239,697
MN,Pennington,239,698
VA,Prince George,239,699
WI,Richland,239,700
AR,Baxter,240,701
OH,Butler,240,702
NC,Northampton,240,703
VA,Roanoke,240,704
NM,Taos,240,705
OK,Beaver,241,706
MN,Benton,241,707
GA,Clarke,241,708
GA,Glynn,241,709
WY,Goshen,241,710
WI,Marathon,241,711
NC,Pender,241,712
UT,San Juan,241,713
MI,Allegan,242,714
KY,Campbell,242,715
MD,Cecil,242,716
NC,Clay,242,717
MI,Clinton,242,718
KS,Edwards,242,719
RI,Kent,242,720
VA,King George,242,721
PA,Schuylkill,242,722
CA,Solano,242,723
TX,Anderson,243,724
SC,Berkeley,243,725
NV,Clark,243,726
VA,Falls Church City,243,727
KS,Kansas,243,728
MI,Muskegon,243,729
NY,Onondaga,243,730
VA,Rockbridge,243,731
NC,Sampson,243,732
VA,Shenandoah,243,733
MT,Stillwater,243,734
WI,Taylor,243,735
CT,Windham,243,736
WI,Bayfield,244,737
OH,Clermont,244,738
WY,Converse,244,739
TX,Guadalupe,244,740
PA,York,244,741
FL,Broward,245,742
IL,Cook,245,743
OK,Cotton,245,744
MI,Delta,245,745
AL,Marshall,245,746
IA,Mitchell,245,747
TX,Presidio,245,748
PA,Adams,246,749
CO,Archuleta,246,750
KS,Atchison,246,751
WI,Pepin,246,752
MT,Broadwater,247,753
CA,California,247,754
SC,Charleston,247,755
NJ,Essex,247,756
ME,Hancock,247,757
NE,McPherson,247,758
CA,Mendocino,247,759
WA,Asotin,248,760
VT,Caledonia,248,761
PR,Cayey Municipio,248,762
OR,Clackamas,248,763
KS,Kearny,248,764
MI,Midland,248,765
TX,Tom Green,248,766
WI,Waukesha,248,767
CO,Chaffee,249,768
TX,Mills,249,769
CO,Otero,249,770
KS,Reno,249,771
OH,Erie,250,772
SD,McPherson,250,773
CO,Ouray,250,774
MN,Pine,250,775
NY,Suffolk,250,776
WA,Wahkiakum,250,777
ID,Camas,251,778
IA,Cerro Gordo,251,779
PA,Lackawanna,251,780
NM,Rio Arriba,251,781
CO,Rio Grande,251,782
HI,Kauai,252,783
CA,Kings,252,784
NC,Lenoir,252,785
PR,Loiza Municipio,252,786
NY,Orange,252,787
NC,Pamlico,252,788
NE,Saline,252,789
NJ,Burlington,253,790
KY,Casey,253,791
OH,Fairfield,253,792
KY,Franklin,253,793
MI,Ionia,253,794
ID,Lemhi,253,795
MN,Lincoln,253,796
GA,McIntosh,253,797
UT,Uintah,253,798
UT,Uintah,253,799
TX,Bell,254,800
IA,Dallas,254,801
WI,Dane,254,802
NM,Dona Ana,254,803
WI,Price,254,804
WA,Skamania,254,805
PR,Yauco Municipio,254,806
TX,Cameron,255,807
NE,Dixon,255,808
SD,Hutchinson,255,809
PR,Las Piedras Municipio,255,810
MT,Lincoln,255,811
SD,Lincoln,255,812
PA,Lycoming,255,813
OK,McClain,255,814
CA,Ventura,255,815
NC,Warren,255,816
NE,Cedar,256,817
TX,Jones,256,818
KS,Kingman,256,819
NY,Nassau,256,820
PR,Penuelas Municipio,256,821
CA,Santa Barbara,256,822
NC,Scotland,256,823
CT,Connecticut,257,824
OR,Deschutes,257,825
HI,Hawaii,257,826
CO,Kit Carson,257,827
ID,Lewis,257,828
NH,Merrimack,257,829
VA,New Kent,257,830
TX,San Patricio,257,831
CA,Tehama,257,832
NE,Thomas,257,833
WY,Uinta,257,834
SD,Yankton,257,835
CA,California,258,836
TX,Dallas,258,837
IN,Gibson,258,838
TX,Wharton,258,839
ND,Barnes,259,840
MI,Branch,259,841
MN,Chippewa,259,842
VA,Fredericksburg City,259,843
MN,Freeborn,259,844
CA,Glenn,259,845
NE,Grant,259,846
TX,Harris,259,847
IL,Illinois,259,848
IA,Kossuth,259,849
MA,Norfolk,259,850
OH,Stark,259,851
ME,Waldo,259,852
WA,Whatcom,259,853
CA,Glenn,260,854
SD,Harding,260,855
MD,Maryland,260,856
TX,Moore,260,857
PR,Ponce Municipio,260,858
ND,Ransom,260,859
FL,Suwannee,260,860
CO,Bent,261,861
IL,Boone,261,862
AZ,Coconino,261,863
PR,Comerio Municipio,261,864
SC,Edgefield,261,865
NE,Grant,261,866
OH,Huron,261,867
MI,Luce,261,868
NC,Mitchell,261,869
KS,Pratt,261,870
MN,Sibley,261,871
WV,Clay,262,872
CA,Colusa,262,873
OH,Henry,262,874
IA,Montgomery,262,875
GA,Paulding,262,876
US,United States,262,877
CA,Calaveras,263,878
CO,Colorado,263,879
NC,Duplin,263,880
NC,Wayne,263,881
CO,Weld,263,882
TX,Wharton,263,883
VA,Franklin,264,884
PA,Juniata,264,885
VA,King George,264,886
CA,Kings,264,887
IN,LaGrange,264,888
TX,Moore,264,889
MD,St. Mary's,264,890
CO,Arapahoe,265,891
VA,Charles City,265,892
ID,Elmore,265,893
KS,Finney,265,894
ND,Griggs,265,895
TX,Hays,265,896
TX,Hudspeth,265,897
LA,Jefferson Parish,265,898
ND,Renville,265,899
CA,San Diego,265,900
GA,Whitfield,265,901
IA,Cedar,266,902
GA,Cobb,266,903
NY,Genesee,266,904
NE,Merrick,266,905
CO,Morgan,266,906
FL,Orange,266,907
MN,Redwood,266,908
CA,San Joaquin,266,909
KS,Stevens,266,910
SD,Sully,266,911
UT,Wasatch,266,912
OR,Yamhill,266,913
ME,York,266,914
OH,Ashland,267,915
TX,Chambers,267,916
KS,Doniphan,267,917
TX,Galveston,267,918
OR,Lincoln,267,919
WA,Mason,267,920
LA,Red River Parish,267,921
MN,St. Louis,267,922
TX,El Paso,268,923
CO,Gilpin,268,924
MO,Holt,268,925
WA,Lewis,268,926
TX,Llano,268,927
TX,Matagorda,268,928
ND,Nelson,268,929
NE,Otoe,268,930
WY,Sheridan,268,931
MN,Todd,268,932
GA,Camden,269,933
OK,Cleveland,269,934
NE,Greeley,269,935
IN,Henry,269,936
CO,La Plata,269,937
GA,McIntosh,269,938
FL,Okaloosa,269,939
SC,Saluda,269,940
CA,Santa Barbara,269,941
WI,Sauk,269,942
MI,Shiawassee,269,943
OH,Washington,269,944
PA,Adams,270,945
VA,Chesapeake City,270,946
WA,Clallam,270,947
CA,El Dorado,270,948
NJ,Middlesex,270,949
AZ,Pima,270,950
KS,Sheridan,270,951
CO,Washington,270,952
FL,Alachua,271,953
NC,Avery,271,954
OR,Malheur,271,955
MT,Ravalli,271,956
CA,San Benito,271,957
FL,Baker,272,958
NC,Franklin,272,959
NY,Hamilton,272,960
IL,Hancock,272,961
WI,Kenosha,272,962
NC,Mecklenburg,272,963
MI,Oceana,272,964
IN,Randolph,272,965
AR,Saline,272,966
IL,Williamson,272,967
AK,Yukon-Koyukuk,272,968
NE,Adams,273,969
TX,Brazos,273,970
NV,Douglas,273,971
OH,Fulton,273,972
IN,Harrison,273,973
VA,Henrico,273,974
NY,Lewis,273,975
OH,Sandusky,273,976
IL,Williamson,273,977
WI,Calumet,274,978
MD,Frederick,274,979
GA,Glascock,274,980
GA,Henry,274,981
ID,Lincoln,274,982
GA,Oconee,274,983
FL,Pasco,274,984
CO,Arapahoe,275,985
AZ,Arizona,275,986
NC,Bertie,275,987
MD,Dorchester,275,988
IN,Elkhart,275,989
NJ,Essex,275,990
NE,Gage,275,991
KY,Hart,275,992
NJ,Hunterdon,275,993
HI,Kalawao,275,994
WV,Lincoln,275,995
IL,Marshall,275,996
TX,Pecos,275,997
NE,Perkins,275,998
MO,Schuyler,275,999
WA,Spokane,275,1000
IN,White,275,1001
AZ,Yavapai,275,1002
IL,Jefferson,276,1003
ME,Kennebec,276,1004
VT,Lamoille,276,1005
OK,Okmulgee,276,1006
FL,Putnam,276,1007
MO,Randolph,276,1008
PR,San Sebastian Municipio,276,1009
VA,Surry,276,1010
CA,Tulare,276,1011
MI,Tuscola,276,1012
WI,Vilas,276,1013
MN,Big Stone,277,1014
MO,Callaway,277,1015
GA,Effingham,277,1016
TX,Fayette,277,1017
FL,Florida,277,1018
MT,Granite,277,1019
CA,Mariposa,277,1020
KS,Osage,277,1021
NY,Schoharie,277,1022
ND,Sioux,277,1023
TX,Starr,277,1024
IL,Wabash,277,1025
VA,Buchanan,278,1026
IL,Carroll,278,1027
KS,Cherokee,278,1028
MO,DeKalb,278,1029
OR,Deschutes,278,1030
WI,Dunn,278,1031
IL,Fulton,278,1032
MT,Glacier,278,1033
NY,Otsego,278,1034
ID,Washington,278,1035
MI,Eaton,279,1036
MT,Hill,279,1037
TX,Hudspeth,279,1038
CA,Kings,279,1039
AK,Nome,279,1040
NC,Polk,279,1041
TN,Roane,279,1042
CO,Saguache,279,1043
IL,Schuyler,279,1044
NM,Sierra,279,1045
KS,Stanton,279,1046
TX,Uvalde,279,1047
CA,Alameda,280,1048
PA,Allegheny,280,1049
NH,Coos,280,1050
NC,Davie,280,1051
IN,Elkhart,280,1052
TX,Falls,280,1053
KS,Phillips,280,1054
WY,Sweetwater,280,1055
TX,Andrews,281,1056
GA,Carroll,281,1057
MN,Isanti,281,1058
TX,Karnes,281,1059
ND,McLean,281,1060
FL,Osceola,281,1061
CO,Washington,281,1062
VA,Westmoreland,281,1063
TX,Bastrop,282,1064
SD,Brookings,282,1065
NC,Caldwell,282,1066
TX,Castro,282,1067
KS,Hodgeman,282,1068
CO,Kiowa,282,1069
NJ,Passaic,282,1070
TN,Rutherford,282,1071
WA,Benton,283,1072
TX,Bexar,283,1073
ID,Bonner,283,1074
IA,Chickasaw,283,1075
NV,Clark,283,1076
NC,Gates,283,1077
VA,Grayson,283,1078
HI,Hawaii,283,1079
ID,Lincoln,283,1080
MT,Petroleum,283,1081
IN,Steuben,283,1082
WA,Walla Walla,283,1083
PR,Barceloneta Municipio,284,1084
GA,DeKalb,284,1085
NV,Douglas,284,1086
NE,Gosper,284,1087
NC,Halifax,284,1088
MN,Lake of the Woods,284,1089
TN,Lewis,284,1090
TX,Sterling,284,1091
MA,Barnstable,285,1092
MD,Carroll,285,1093
UT,Duchesne,285,1094
LA,Iberville Parish,285,1095
MI,Oakland,285,1096
IA,Wapello,285,1097
GA,Baker,286,1098
TN,Haywood,286,1099
NE,Kimball,286,1100
LA,Lincoln Parish,286,1101
VA,Richmond City,286,1102
TX,Robertson,286,1103
CO,Saguache,286,1104
ID,Fremont,287,1105
IL,Greene,287,1106
MO,Moniteau,287,1107
WV,Raleigh,287,1108
VA,Augusta,288,1109
PA,Carbon,288,1110
IL,DeKalb,288,1111
KS,Gray,288,1112
TN,Johnson,288,1113
OK,Oklahoma,288,1114
SC,Sumter,288,1115
TN,Wilson,288,1116
TX,Atascosa,289,1117
NM,Harding,289,1118
WI,Langlade,289,1119
