"city", "state", "population"
"Port St. Lucie ","FL",154353
"Dayton ","OH",1542
"Salem ","OR",153435
"Pomona ","CA",152699
"Springfield ","MA",15064
"Eugene ","OR",150104
"Corona ","CA",149923
"Pasadena ","TX",146439
"Joliet ","IL",146125
"Pembroke Pines ","FL",145661
"Paterson ","NJ",145643
"Hampton ","VA",145494
"Lancaster ","CA",145469
"Alexandria ","VA",143885
"Salinas ","CA",14364
"Palmdale ","CA",143197
"Naperville ","IL",143117
"Pasadena ","CA",14308
"Kansas City ","KS",142562
"Hayward ","CA",142061
"Hollywood ","FL",14174
"Lakewood ","CO",140989
"Torrance ","CA",14082
"Syracuse ","NY",138068
"Escondido ","CA",137103
"Fort Collins ","CO",136509
"Bridgeport ","CT",136405
"Orange ","CA",136392
"Warren ","MI",133939
"Elk Grove ","CA",133003
"Savannah ","GA",13241
"Mesquite ","TX",132123
"Sunnyvale ","CA",132109
"Fullerton ","CA",131868
"McAllen ","TX",129776
"Cary","NC",129545
"Cedar Rapids ","IA",128056
"Sterling Heights ","MI",12716
"Columbia ","SC",127029
"Coral Springs ","FL",125783
"Carrollton ","TX",125595
"Elizabeth ","NJ",124755
"Hartford ","CT",124062
"Waco ","TX",124009
"Bellevue ","WA",123771
"New Haven ","CT",123669
"West Valley City ","UT",123447
"Topeka ","KS",123446
"Thousand Oaks ","CA",123091
"El Monte ","CA",121791
"McKinney ","TX",121211
"Concord ","CA",12116
"Visalia ","CA",12104
"Simi Valley ","CA",120543
"Olathe ","KS",119993
"Clarksville ","TN",119735
"Denton ","TX",119454
"Stamford ","CT",119303
"Provo ","UT",118581
"Springfield ","IL",117352
"Killeen ","TX",116934
"Abilene ","TX",116484
"Evansville ","IN",116309
"Gainesville ","FL",114916
"Vallejo ","CA",114729
"Ann Arbor ","MI",114386
"Peoria ","IL",114114
"Lansing ","MI",113968
"Lafayette ","LA",113656
"Thornton ","CO",113429
"Athens","GA",113398
"Flint ","MI",1129
"Inglewood ","CA",112714
"Roseville ","CA",11266
"Charleston ","SC",111978
"Beaumont ","TX",110553
"Independence ","MO",11044
"Victorville ","CA",110318
"Santa Clara ","CA",1102
"Costa Mesa ","CA",11008
"Miami Gardens ","FL",109346
"Manchester ","NH",108586
"Miramar ","FL",108484
"Downey ","CA",107587
"Arvada ","CO",107361
"Allentown ","PA",10725
"Westminster ","CO",107056
"Waterbury ","CT",107037
"Norman ","OK",106957
"Midland ","TX",106561
"Elgin ","IL",10633
"West Covina ","CA",10579
"Clearwater ","FL",105774
"Cambridge ","MA",105596
"Pueblo ","CO",104951
"West Jordan ","UT",104447
"Round Rock ","TX",104446
"Billings ","MT",103994
"Erie ","PA",103817
"South Bend ","IN",103807
"Ventura","CA",103706
"Fairfield ","CA",103683
"Lowell ","MA",103615
"Norwalk ","CA",102982
"Burbank ","CA",102968
"Richmond ","CA",102285
"Pompano Beach ","FL",101943
"High Point ","NC",101835
"Murfreesboro ","TN",101753
"Lewisville ","TX",101624
"Richardson ","TX",101589
"Daly City ","CA",101514
"Berkeley ","CA",101371
"Gresham ","OR",101221
"Wichita Falls ","TX",101202
"Green Bay ","WI",101025
"Davenport ","IA",100827
"Palm Bay ","FL",100786
"Columbia ","MO",100733
"Portsmouth ","VA",100577
"Rochester ","MN",100413
"Antioch ","CA",100219
"Wilmington ","NC",100192
"Centennial ","CO",9968
"Odessa ","TX",98801
"West Palm Beach ","FL",98779
"Rialto ","CA",987
"Everett ","WA",98212
"Murrieta ","CA",97918
"Tyler ","TX",97705
"Temecula ","CA",971
"Kenosha ","WI",9695
"Frisco ","TX",96676
"Sandy ","UT",9666
"South Gate ","CA",9664
"Carlsbad ","CA",96374
"Gary ","IN",9592
"Mission Viejo ","CA",94461
"North Charleston ","SC",94407
"Boulder ","CO",94171
"Compton ","CA",93851
"Hillsboro ","OR",93638
"Albany ","NY",93539
"Fargo ","ND",93531
"Lakeland ","FL",93333
"Orem ","UT",9325
"Brockton ","MA",93007
"Roanoke ","VA",92967
"Broken Arrow ","OK",92931
"Surprise ","AZ",92897
"Macon ","GA",92775
"El Cajon ","CA",92718
"Carson ","CA",92366
"Quincy ","MA",92339
"Clovis ","CA",92318
"San Mateo ","CA",92256
"Vacaville ","CA",92219
"San Angelo ","TX",9188
"Las Cruces ","NM",91865
"Beaverton ","OR",91757
"Greeley ","CO",91492
"New Bedford ","MA",91365
"Livonia ","MI",9122
"Vista ","CA",91144
"Fall River ","MA",90931
"Waukegan ","IL",90788
"Lawrence ","KS",9052
"Davie","FL",90238
"Tuscaloosa ","AL",90221
"Redding ","CA",90201
"Lawton ","OK",90091
"Yuma ","AZ",90041
"Sunrise ","FL",89026
"Westminster ","CA",88975
"Sparks ","NV",88602
"Santa Monica ","CA",87664
"Roswell ","GA",87657
"Lynn ","MA",86957
"Nashua ","NH",86576
"Dearborn ","MI",86477
"Santa Maria ","CA",86356
"Spokane Valley ","WA",86144
"Santa Barbara ","CA",86093
"Alhambra ","CA",85953
"Longmont ","CO",85928
"Hesperia ","CA",85883
"Boca Raton ","FL",8567
"Fort Smith ","AR",84716
"Miami Beach ","FL",84633
"Warwick ","RI",84483
"Indio ","CA",84443
"Citrus Heights ","CA",84432
"Deltona ","FL",84408
"Federal Way ","WA",84309
"Hawthorne ","CA",84305
"Duluth ","MN",84284
"Lee's Summit ","MO",84208
"College Station ","TX",84128
"Yakima ","WA",84074
"Kent ","WA",83978
"Chico ","CA",83791
"Plantation ","FL",83628
"Norwalk ","CT",83185
"Chino ","CA",83031
"Pearland ","TX",82903
"Trenton ","NJ",82883
"Ogden ","UT",82865
"Sioux City ","IA",82807
"Sandy Springs ","GA",82674
"Suffolk ","VA",82302
"Whittier ","CA",82267
"Racine ","WI",82196
"Newton ","MA",82139
"Avondale ","AZ",81299
"Bloomington ","MN",8128
"Allen ","TX",81268
"Sugar Land ","TX",80704
"Reading ","PA",80506
"Cicero","IL",80414
"Nampa ","ID",80362
"Troy ","MI",80264
"Livermore ","CA",80188
"Cranston ","RI",7998
"Newport Beach ","CA",79661
"Rio Rancho ","NM",79655
"Greenville ","NC",79629
"Edmond ","OK",79559
"Champaign ","IL",79389
"Camden ","NJ",79383
"Buena Park ","CA",79379
"Danbury ","CT",79256
"Tracy ","CA",79196
"San Marcos ","CA",79114
"Westland ","MI",78961
"Bellingham ","WA",78905
"Farmington Hills ","MI",78522
"Lakewood ","CA",78444
"Canton ","OH",78362
"Clifton ","NJ",78219
"Parma ","OH",77947
"San Leandro ","CA",7788
"Evanston ","IL",77693
"Baldwin Park ","CA",7738
"Melbourne ","FL",77351
"Longview ","TX",77211
"Bend ","OR",77181
"Merced ","CA",7716
"O'Fallon ","MO",76819
"Hammond ","IN",76732
"Decatur ","IL",76256
"Jacksonville ","NC",76233
"St. Joseph ","MO",76197
"Albany ","GA",75831
"Somerville ","MA",75662
"Lake Forest ","CA",75566
"Southfield ","MI",75392
"Missouri City ","TX",74723
"Deerfield Beach ","FL",74584
"Napa ","CA",74547
"Asheville ","NC",74543
"New Rochelle ","NY",74115
"Redwood City ","CA",7406
"Chino Hills ","CA",73879
"Arlington Heights","IL",73399
"Fayetteville ","AR",73372
"Medford ","OR",73212
"Bellflower ","CA",73033
"Bloomington ","IL",73026
"Youngstown ","OH",72925
"Largo ","FL",72732
"St. George ","UT",72718
"Lynchburg ","VA",72596
"Wilmington ","DE",72592
"Gastonia ","NC",72505
"Bryan ","TX",72357
"Palm Coast ","FL",72316
"Bethlehem ","PA",72241
"Scranton ","PA",72233
"Kalamazoo ","MI",72179
"Union City ","CA",72123
"Upland ","CA",72091
"Santa Fe ","NM",71831
"Bloomington ","IN",71819
"Tustin ","CA",71814
"Pawtucket ","RI",71765
"Schaumburg","IL",71716
"Edinburg ","TX",7152
"Plymouth ","MN",71486
"Mountain View ","CA",71348
"Brooklyn Park ","MN",71308
"League City ","TX",71222
"Lake Charles ","LA",71061
"Hoover ","AL",7102
"Hemet ","CA",70991
"Bolingbrook","IL",70823
"Alameda ","CA",7058
"New Britain ","CT",70486
"Wyoming ","MI",70462
"Baytown ","TX",7033
"Appleton ","WI",70305
"Lorain ","OH",70239
"Apple Valley","CA",702
"Gulfport ","MS",70055
"Lynwood ","CA",70025
"Lawrence ","MA",70014
"Redlands ","CA",69689
"Flower Mound","TX",69307
"Rochester Hills ","MI",69014
"Fishers","IN",69011
"Mount Vernon ","NY",68653
"Turlock ","CA",68404
"Boynton Beach ","FL",68291
"Missoula ","MT",68202
"Springdale ","AR",6818
"Waukesha ","WI",68008
"Iowa City ","IA",67831
"Folsom ","CA",67788
"Marietta ","GA",67562
"Milpitas ","CA",67503
"Rock Hill ","SC",67339
"Mission ","TX",67119
"Palatine","IL",6708
"Lauderhill ","FL",67073
"St. Cloud ","MN",66948
"Kenner ","LA",66942
"Meridian ","ID",66916
"Passaic ","NJ",66884
"Redondo Beach ","CA",66882
"Pleasanton ","CA",66828
"Carmel ","IN",66769
"Waterloo ","IA",66662
"Skokie","IL",6662
"Dothan ","AL",66505
"Concord ","NC",66311
"Pontiac ","MI",66095
"Yorba Linda ","CA",65717
"Loveland ","CO",65587
"Layton ","UT",65514
"Rapid City ","SD",65491
"Mount Pleasant","SC",65472
"Eau Claire ","WI",65426
"Fort Myers ","FL",65394
"East Orange ","NJ",6539
"Pharr ","TX",65258
"North Richland Hills ","TX",65078
"Manteca ","CA",65028
"Muncie ","IN",64975
"Harlingen ","TX",64843
"Laguna Niguel ","CA",64469
"St. Charles ","MO",64386
"Daytona Beach ","FL",64211
"Pittsburg ","CA",64148
"Delray Beach ","FL",64092
"Lafayette ","IN",64049
"Eagan ","MN",63985
"Jonesboro ","AR",6396
"Oshkosh ","WI",63679
"Weston ","FL",63628
"Walnut Creek ","CA",63486
"Camarillo ","CA",63324
"Kennewick ","WA",63216
"Jackson ","TN",63158
"Pico Rivera ","CA",63138
"Davis ","CA",62593
"Portland ","ME",62561
"Victoria ","TX",62558
"Janesville ","WI",62516
"South San Francisco ","CA",62502
"Hamilton ","OH",62477
"Bossier City ","LA",62384
"Cedar Park ","TX",62308
"Kissimmee ","FL",62291
"Springfield ","OH",62269
"Renton ","WA",62266
"Rancho Cordova ","CA",62265
"Union City ","NJ",62183
"Johnson City ","TN",6199
"Montebello ","CA",61906
"Coon Rapids ","MN",61832
"Maple Grove ","MN",61542
"San Clemente ","CA",61465
"Warner Robins ","GA",61336
"Lodi ","CA",61301
"Haverhill ","MA",61275
"Monterey Park ","CA",61234
"Yuba City ","CA",61226
"Eden Prairie ","MN",61191
"Schenectady ","NY",61152
"Shawnee ","KS",60954
"Bristol ","CT",60927
"Huntington Park ","CA",60898
"Rockville ","MD",60734
"Taylor ","MI",60619
"Bismarck ","ND",60389
"Encinitas ","CA",60372
"St. Clair Shores ","MI",60364
"Waltham ","MA",60236
"Flagstaff ","AZ",60222
"Revere ","MA",60204
"Terre Haute ","IN",60007
"Greenville ","SC",59988
"Temple ","TX",59654
"Council Bluffs ","IA",59536
"Goodyear ","AZ",59508
"Johns Creek ","GA",59431
"North Little Rock ","AR",5943
"West Allis ","WI",59416
"Palo Alto ","CA",59395
"Tamarac ","FL",5934
"Great Falls ","MT",59251
"Frederick ","MD",59213
"Tinley Park","IL",59198
"Meriden ","CT",59186
"La Habra ","CA",59155
"Burnsville ","MN",59139
"Taylorsville ","UT",58785
"Vineland ","NJ",5878
"Gaithersburg ","MD",58744
"National City ","CA",5868
"Gardena ","CA",58554
"Franklin ","TN",58481
"Utica ","NY",58082
"Homestead ","FL",57936
"Conway ","AR",57544
"Bayonne ","NJ",57448
"White Plains ","NY",57342
"Anderson ","IN",57282
"Dubuque ","IA",5725
"Diamond Bar ","CA",57235
"Springfield ","OR",57224
"Royal Oak ","MI",5711
"Galveston ","TX",57086
"Des Plaines ","IL",57062
"Rocky Mount ","NC",5701
"Lakewood ","WA",56983
"Cheyenne ","WY",56915
"Rogers ","AR",56726
"Madera ","CA",567
"Tulare ","CA",56654
"Lake Havasu City ","AZ",56553
"Ames ","IA",5651
"Midwest City ","OK",56394
"Arcadia ","CA",56248
"Woodbury ","MN",56128
"Santa Cruz ","CA",56124
"Auburn ","AL",56088
"Decatur ","AL",56068
"Port Arthur ","TX",5591
"North Miami ","FL",55908
"Rowlett ","TX",5578
"Taunton ","MA",55702
"Blue Springs ","MO",55698
"Perris ","CA",55643
"Saginaw ","MI",5562
"San Rafael ","CA",55602
"Malden ","MA",55597
"Medford ","MA",55573
"Fountain Valley ","CA",55516
"Owensboro ","KY",55516
"Orland Park","IL",55514
"St. Peters ","MO",555
"Conroe ","TX",55429
"Auburn ","WA",55426
"West Des Moines ","IA",55426
"Pasco ","WA",55246
"Paramount ","CA",55236
"Bowling Green ","KY",55097
"Blaine ","MN",55042
"Elyria ","OH",54979
"Chicopee ","MA",54941
"North Port ","FL",54907
"Pocatello ","ID",54901
"Carson City","NV",54867
"Broomfield ","CO",54858
"Ocala ","FL",54801
"La Mesa ","CA",54673
"Petaluma ","CA",54666
"Lancaster ","PA",54626
"Port Orange ","FL",54616
"Woodland ","CA",54567
"Lakeville ","MN",54542
"Wellington","FL",5453
"Wheaton ","IL",54465
"Rosemead ","CA",54412
"Idaho Falls ","ID",54334
"Milford ","CT",54136
"Margate ","FL",54086
"Novi ","MI",54054
"Casper ","WY",54047
"Hempstead","NY",53915
"Santee ","CA",5386
"Pensacola ","FL",5382
"Kettering ","OH",53708
"Hoffman Estates","IL",53641
"Cupertino ","CA",53637
"New Braunfels ","TX",53547
"Bradenton ","FL",53513
"Mount Prospect","IL",53338
"Oak Lawn","IL",53244
"Delano ","CA",53051
"San Marcos ","TX",52927
"Rocklin ","CA",52811
"Novato ","CA",52785
"Elkhart ","IN",52653
"Moore ","OK",52615
"Euless ","TX",52579
"Bowie ","MD",52544
"Chapel Hill","NC",52542
"West Haven ","CT",5242
"Sarasota ","FL",5234
"Manhattan ","KS",52284
"Cathedral City ","CA",52095
"Normal","IL",52056
"Battle Creek ","MI",52053
"Shoreline ","WA",52005
"Hattiesburg ","MS",51993
"Dearborn Heights ","MI",51972
"Porterville ","CA",5183
"Mentor ","OH",51825
"Middletown ","OH",51422
"Niagara Falls ","NY",51345
"Peabody ","MA",51331
"Cerritos ","CA",51326
"Grand Forks ","ND",51313
"Monroe ","LA",51215
"New Brunswick ","NJ",51149
"South Jordan ","UT",51131
"Corvallis ","OR",5111
"Highland ","CA",51096
"Cuyahoga Falls ","OH",5109
"Lake Elsinore ","CA",50952
"La Crosse ","WI",50902
"Palm Desert ","CA",50876
"Burlington ","NC",50857
"Lakewood ","OH",50704
"Sanford ","FL",50634
"Florissant ","MO",50561
"Colton ","CA",50517
"Grapevine ","TX",50471
"Watsonville ","CA",50442
"Coconut Creek ","FL",50436
"Pine Bluff ","AR",50408
"Charleston ","WV",50302
"Hanford ","CA",50103
"Minnetonka ","MN",50081
"Mishawaka ","IN",50026
"Apple Valley ","MN",50004
"Gilroy ","CA",49934
"Berwyn ","IL",49919
"Alpharetta ","GA",49903
"Smyrna ","GA",49854
"La Mirada ","CA",49809
"Joplin ","MO",49775
"Yucaipa ","CA",4975
"Bellevue ","NE",49699
"Placentia ","CA",49692
"Grand Junction ","CO",49688
"Georgetown ","TX",49618
"Rancho Santa Margarita ","CA",49591
"Mansfield ","OH",49579
"Oak Park","IL",49557
"Redmond ","WA",49548
"Brentwood ","CA",4948
"Glendora ","CA",4941
"Downers Grove","IL",4925
"Palm Beach Gardens ","FL",49227
"Huntington ","WV",49185
"San Ramon ","CA",49161
"Bedford ","TX",49155
"Jupiter","FL",48879
"Poway ","CA",48858
"Perth Amboy ","NJ",48742
"Tigard ","OR",48713
"Logan ","UT",48657
"Alexandria ","LA",48639
"Valdosta ","GA",48547
"East Providence ","RI",4848
"Wilson ","NC",48433
"Albany ","OR",48081
"Middletown ","CT",4803
"Palm Springs ","CA",47952
"Sheboygan ","WI",47895
"Hendersonville ","TN",47725
"Greenwood ","IN",4772
"Stillwater ","OK",47653
"DeSoto ","TX",47568
"West Sacramento ","CA",47511
"Bartlett ","TN",47501
"Troy ","NY",47459
"Kentwood ","MI",47419
"Euclid ","OH",47415
"Enid ","OK",47396
"Kirkland ","WA",47303
"Buckeye","AZ",47261
"Newark ","OH",47236
"Pinellas Park ","FL",47173
"Harrisburg ","PA",47148
"Cypress ","CA",47123
"Covina ","CA",46944
"Azusa ","CA",46847
"Lenexa ","KS",46822
"Lehi ","UT",46802
"Roseville ","MI",46782
"Salina ","KS",46483
"West New York","NJ",46472
"Murray ","UT",46201
"Roswell ","NM",46198
"Barnstable Town ","MA",46184
"Glenview","IL",4618
"Richland ","WA",46155
"Altoona ","PA",46144
"Mansfield ","TX",46142
"Portage ","MI",46133
"Plainfield ","NJ",46126
"Chesterfield ","MO",46064
"Elmhurst ","IL",46013
"East Lansing ","MI",45857
"Cleveland Heights ","OH",45827
"Grand Island ","NE",45801
"Kokomo ","IN",45694
"Biloxi ","MS",4567
"Edina ","MN",45608
"Maricopa ","AZ",45571
"DeKalb ","IL",45497
"St. Louis Park ","MN",45465
"Olympia ","WA",45322
"Summerville","SC",45193
"Wauwatosa ","WI",45004
"Cedar Hill ","TX",44786
"Titusville ","FL",44756
"Binghamton ","NY",44729
"Bell Gardens ","CA",44692
"Danville ","VA",4466
"Texas City ","TX",44491
"Bountiful ","UT",44473
"Kingsport ","TN",44473
"Castle Rock","CO",44369
"Dublin ","CA",44297
"Southaven ","MS",44076
"Methuen ","MA",44055
"Huntersville","NC",44054
"Harrisonburg ","VA",44015
"Freeport","NY",43881
"La Quinta ","CA",43865
"Warren ","OH",43789
"Parker","CO",43767
"San Luis Obispo ","CA",43636
"Lincoln ","CA",43602
"Oro Valley","AZ",43465
"East Point ","GA",43418
"Coeur d'Alene ","ID",4336
"Sierra Vista ","AZ",4332
"Woonsocket ","RI",43268
"Lawrence ","IN",43247
"Covington ","KY",43235
"Moline ","IL",43088
"Buffalo Grove","IL",42972
"Lombard","IL",4289
"Attleboro ","MA",42833
"Hackensack ","NJ",42804
"Coral Gables ","FL",42781
"Bonita Springs ","FL",4273
"Prescott ","AZ",42697
"Ceres ","CA",4269
"Pittsfield ","MA",42652
"Farmington ","NM",42637
"Strongsville ","OH",42617
"Kannapolis ","NC",42521
"Commerce City ","CO",42473
"Fairfield ","OH",42384
"Caldwell ","ID",42331
"Draper ","UT",42317
"Oakland Park ","FL",42293
"Ankeny ","IA",42287
"The Colony ","TX",42281
"Concord ","NH",42255
"Bartlett","IL",42209
"Sayreville","NJ",42208
"Twin Falls ","ID",42197
"Noblesville ","IN",42155
"Fond du Lac ","WI",42025
"Crystal Lake ","IL",41797
"Blacksburg","VA",41796
"Newark ","CA",41781
"North Lauderdale ","FL",41772
"Chelsea ","MA",41577
"Aliso Viejo ","CA",41572
"Charlottesville ","VA",41487
"Hickory ","NC",41305
"Salem ","MA",41256
"Danville","CA",41182
"Casa Grande ","AZ",41152
"Rancho Palos Verdes ","CA",41106
"Lompoc ","CA",41099
"Belleville ","IL",41097
"Leominster ","MA",41055
"Wilkes-Barre ","PA",40932
"Midland ","MI",40917
"Hutchinson ","KS",40889
"Fort Pierce ","FL",40885
"Bullhead City ","AZ",40868
"Littleton ","CO",40777
"Jefferson City ","MO",40771
"Lacey ","WA",40702
"La Puente ","CA",40642
"Westfield ","MA",40608
"Hoboken ","NJ",40577
"Rohnert Park ","CA",40496
"San Gabriel ","CA",40445
"San Bruno ","CA",40315
"Fitchburg ","MA",40239
"Haltom City ","TX",40181
"Sammamish ","WA",40179
"Edmonds ","WA",40158
"Muskogee ","OK",40099
"York ","PA",40097
"El Centro ","CA",40083
"Carol Stream","IL",40004
"Columbus ","IN",40001
"Shelton ","CT",39991
"Quincy ","IL",39983
"Altamonte Springs ","FL",39947
"Holyoke ","MA",39947
"Beavercreek ","OH",39909
"Cleveland ","TN",39753
"Riverton ","UT",39751
"Hagerstown ","MD",39728
"Pflugerville ","TX",39653
"Urbana ","IL",39641
"Leesburg","VA",39641
"Spartanburg ","SC",39584
"Hot Springs ","AR",39467
"Bozeman ","MT",39442
"State College","PA",39419
"Atlantic City ","NJ",39408
"Muskegon ","MI",39401
"Coachella ","CA",39391
"Beverly ","MA",39343
"Collierville","TN",39211
"Linden ","NJ",39162
"Coppell ","TX",39154
"Brookfield ","WI",3902
"Keller ","TX",38951
"Burlington ","VT",38897
"Madison ","AL",38714
"Hallandale Beach ","FL",38683
"New Berlin ","WI",38649
"Sumter ","SC",38625
"Campbell ","CA",38617
"Culver City ","CA",3858
"Hurst ","TX",3855
"Dublin ","OH",38536
"Prescott Valley","AZ",38535
"Huntsville ","TX",3848
"Urbandale ","IA",38369
"Calexico ","CA",38344
"Temple City ","CA",38341
"Brea ","CA",38314
"Meridian ","MS",38232
"Rock Island ","IL",38139
"Morgan Hill ","CA",38096
"Sherman ","TX",38077
"Cedar Falls ","IA",38059
"Romeoville","IL",38028
"North Miami Beach ","FL",37997
"Ormond Beach ","FL",37984
"Apopka ","FL",37935
"Marlborough ","MA",37932
"Goose Creek ","SC",379
"Florence ","AL",37877
"Smyrna","TN",37867
"Wylie ","TX",37861
"San Jacinto ","CA",37842
"Lima ","OH",37829
"Carpentersville","IL",37741
"Pacifica ","CA",37739
"Monrovia ","CA",37651
"Goldsboro ","NC",37597
"Stanton ","CA",37589
"Wausau ","WI",37576
"Cape Girardeau ","MO",3737
"Everett ","MA",37353
"New Albany ","IN",37296
"Germantown ","TN",37251
"Huber Heights ","OH",37148
"Streamwood","IL",37119
"Findlay ","OH",36987
"Portage ","IN",36976
"Lancaster ","OH",36976
"Park Ridge ","IL",36927
"Lake Oswego ","OR",36926
"Addison","IL",36917
"Woburn ","MA",36871
"Gadsden ","AL",36816
"Calumet City ","IL",368
"Hanover Park","IL",36777
"Kearny","NJ",36746
"Richmond ","IN",36733
"Del Rio ","TX",36682
"Bell ","CA",36657
"Panama City ","FL",36644
"Texarkana ","TX",36611
"Manhattan Beach ","CA",36605
"Chester ","PA",36564
"Longview ","WA",36562
"Montclair ","CA",3653
"Annapolis ","MD",36524
"Plainfield","IL",36507
"Riviera Beach ","FL",3643
"Norwich ","CT",36388
"Moorpark ","CA",36372
"Puyallup ","WA",3633
"University City ","MO",36289
"Fort Lee","NJ",36275
"Mankato ","MN",36245
"Tupelo ","MS",36233
"Westerville ","OH",36231
"Brentwood ","TN",36176
"Beloit ","WI",3616
"Duncanville ","TX",36109
"Dover ","DE",36107
"Maplewood ","MN",36087
"Greenfield ","WI",36075
"Wheeling","IL",36063
"Rome ","GA",36041
"Moorhead ","MN",36012
"Valley Stream","NY",36007
"Bremerton ","WA",36006
"West Hollywood ","CA",36005
"Dunedin ","FL",35988
"Bartlesville ","OK",35914
"Keizer ","OR",35864
"Marion ","OH",35841
"Greenville ","MS",35764
"Lancaster ","TX",35761
"Alamogordo ","NM",35757
"Dana Point ","CA",357
"Long Beach ","NY",35698
"Roy ","UT",35672
"Gainesville ","GA",35668
"Bentonville ","AR",35526
"Lake Worth ","FL",35513
"Franklin ","WI",355
"Claremont ","CA",3547
"Minot ","ND",35419
"Cottonwood Heights ","UT",35418
"Lincoln Park ","MI",35317
"Torrington ","CT",35312
"Rockwall ","TX",35247
"Manassas ","VA",35205
"Martinez ","CA",35145
"Fairbanks ","AK",35132
"Lewiston ","ME",35131
"San Dimas ","CA",35043
"Los Banos ","CA",34968
"Burleson ","TX",34908
"Hollister ","CA",34877
"San Juan Capistrano ","CA",34793
"Peachtree City ","GA",34788
"Leavenworth ","KS",34729
"Brunswick ","OH",34711
"Menomonee Falls","WI",34607
